Width_cm,Leanth_cm,Thickness_cm,Dielectric_constant,Mode_m,Mode_n,Meas_Freq_MHz
5.7,3.8,0.3175,2.33,1,0,2310
4.55,3.05,0.3175,2.33,1,0,2890
2.95,1.95,0.3175,2.33,1,0,4240
1.95,1.3,0.3175,2.33,1,0,5840
1.7,1.1,0.3175,2.33,1,0,6800
1.4,0.9,0.3175,2.33,1,0,7700
1.2,0.8,0.3175,2.33,1,0,8270
1.05,0.7,0.3175,2.33,1,0,9140
1.7,1.1,0.9525,2.33,1,0,4730
1.7,1.1,0.1524,2.33,1,0,7870
4.1,4.14,0.1524,2.5,1,0,2228
6.858,4.14,0.1524,2.5,1,0,2200
10.8,4.14,0.1524,2.5,1,0,2181
0.85,1.29,0.017,2.22,1,0,7740
0.79,1.185,0.017,2.22,1,0,8450
2,2.5,0.079,2.22,1,0,3970
1.063,1.183,0.079,10.2,1,0,7730
0.91,1,0.127,2.33,1,0,4600
1.72,1.86,0.157,2.33,1,0,5060
1.81,1.96,0.157,2.55,1,0,4805
1.27,1.35,0.163,2.55,1,0,6560
1.5,1.621,0.163,2.55,1,0,5600
1.337,1.412,0.2,2.55,1,0,6200
1.12,1.2,0.242,2.55,1,0,7050
1.403,1.485,0.252,2.5,1,0,5800
1.53,1.63,0.3,2.5,1,0,5270
0.905,1.018,0.3,2.5,1,0,7990
1.17,1.28,0.3,2.55,1,0,6570
1.375,1.58,0.476,2.55,1,0,5100
0.776,1.08,0.33,2.55,1,0,8000
0.79,1.255,0.4,2.55,1,0,7134
0.987,1.45,0.45,2.55,1,0,6070
1,1.52,0.476,2.55,1,0,5820
0.814,1.44,0.476,2.55,1,0,6380
0.79,1.62,0.55,2.55,1,0,5990
1.2,1.97,0.626,2.55,1,0,4660
0.783,2.3,0.854,2.55,1,0,4600
1.256,2.756,0.952,2.55,1,0,3580
0.974,2.62,0.952,2.55,1,0,3980
1.02,2.64,0.952,2.55,1,0,3900
0.88,2.676,1,2.55,1,0,3980
0.777,2.835,1.1,2.55,1,0,3900
0.92,3.13,1.2,2.55,1,0,3470
1.03,3.38,1.281,2.55,1,0,3200
1.265,3.5,1.281,2.55,1,0,2980
1.08,3.4,1.281,2.55,1,0,3150
10.6814,13.6,0.08,2.32,1,1,835
10.6814,13.6,0.159,2.32,1,1,829
10.6814,13.6,0.1524,2.32,1,1,815
7.8539,10,0.318,2.32,1,1,1128
5.969,7.6,0.1588,2.49,1,1,1443
7.618,9.7,0.0794,2.52,1,1,1099
5.486,6.986,0.3175,2.5,1,1,1570
1.994,2.54,0.235,2.59,1,1,4070
5.486,6.986,0.235,2.5,1,1,1510
7.775,9.9,0.235,4.55,1,1,825
6.243,7.95,0.235,4.55,1,1,1030
4.696,5.98,0.235,4.55,1,1,1360
3.141,4,0.235,4.55,1,1,2003
1.633,2.08,0.15875,4.55,1,1,3750
1.209,1.54,0.15875,4.55,1,1,4945
1.806,2.3,0.15875,2.65,1,1,4425
1.68,2.14,0.15875,2.65,1,1,4723
1.507,1.92,0.15875,2.65,1,1,5224
1.162,1.48,0.15875,2.65,1,1,6634
1.388,1.64,0.15875,2.65,1,1,6074
2.05,3.55,0.07,10.5,1,0,1519
2.05,3.55,0.07,10.5,1,1,2637
2.05,3.55,0.07,10.5,2,0,2995
2.05,3.55,0.07,10.5,2,1,3973
2.05,3.55,0.07,10.5,3,0,4439
4.35,7.534,0.078,2.32,1,0,1489
4.35,7.534,0.078,2.32,1,1,2596
4.35,7.534,0.078,2.32,2,0,2969
4.35,7.534,0.078,2.32,2,1,3968
4.35,7.534,0.078,2.32,3,0,4443
5,8.66,0.159,2.32,1,0,1280
5,8.66,0.159,2.32,1,1,2242
5,8.66,0.159,2.32,2,0,2550
5,8.66,0.159,2.32,2,1,3400
5,8.66,0.159,2.32,3,0,3824
